date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:37	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/robots.txt		(from )
18:43:41	96895/96895	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:43:41%20GMT	http://cardealer.webtemplatemasters.com/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/index.html	(from )
18:43:41	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/themes/cardealer/favicon.ico	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/favicon.ico	(from http://cardealer.webtemplatemasters.com/)
18:43:43	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2008%20Jul%202018%2016:43:45%20GMT	http://cardealer.webtemplatemasters.com/xmlrpc.php	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/xmlrpc.1.delayed	(from http://cardealer.webtemplatemasters.com/)
18:43:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/style.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/style37cb.css	(from http://cardealer.webtemplatemasters.com/)
18:43:47	27261/27261	---MC-	200	added ('OK')	application/rss+xml	etag:%224369d291b1ee24f6b27f847680347375%22	http://cardealer.webtemplatemasters.com/feed/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/feed/index.html	(from http://cardealer.webtemplatemasters.com/)
18:43:48	10014/10014	---MC-	200	added ('OK')	application/rss+xml	etag:%2236c418a7496986a95976e099771887de%22	http://cardealer.webtemplatemasters.com/comments/feed/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/comments/feed/index.html	(from http://cardealer.webtemplatemasters.com/)
18:43:49	780/780	---MC-	200	added ('OK')	application/rss+xml	etag:%2236c418a7496986a95976e099771887de%22	http://cardealer.webtemplatemasters.com/home/feed/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/home/feed/index.html	(from http://cardealer.webtemplatemasters.com/)
18:43:50	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/custom1.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/custom137cb.css	(from http://cardealer.webtemplatemasters.com/)
18:43:55	145850/145850	---MC-	200	added ('OK')	text/css	etag:W/%22239ba-56b8c18a28429%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/style.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/style37cb.css	(from http://cardealer.webtemplatemasters.com/)
